time,J1_x,J1_y,J1_z,J2_x,J2_y,J2_z,J3_x,J3_y,J3_z,J4_x,J4_y,J4_z,J5_x,J5_y,J5_z,J6_x,J6_y,J6_z,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,eta_adaptive,R1_adaptive,R2_adaptive,mu_adaptive,ai_adaptive
0.0080,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2578,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1699,18.4204
0.0160,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4375,0.0266,0.0399,14.1707,18.4218
0.0240,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1704,18.4213
0.0320,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2296,0.2875,0.2511,0.0000,0.0000,0.4375,0.0266,0.0399,14.1707,18.4219
0.0400,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1706,18.4216
0.0480,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1704,18.4214
0.0560,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2578,0.0000,-0.2295,0.2876,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1706,18.4217
0.0640,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1706,18.4216
0.0720,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1703,18.4212
0.0800,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4374,0.0266,0.0399,14.1703,18.4212
0.0880,0.0000,0.0000,0.1519,0.1807,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4375,0.0266,0.0399,14.1708,18.4220
0.0960,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4375,0.0266,0.0399,14.1708,18.4220
0.1040,0.0000,0.0000,0.1519,0.1806,0.0019,0.3154,-0.0316,-0.0003,0.3359,-0.0328,0.1120,0.3359,-0.1180,0.1111,0.3397,-0.1217,0.1115,0.2579,0.0000,-0.2295,0.2875,0.2511,0.0000,0.0000,0.4375,0.0266,0.0399,14.1707,18.4218
